iter	Passed	Remaining
0	166	166543
1	168	83846
2	169	56320
3	170	42552
4	172	34339
5	177	29432
6	179	25417
7	180	22404
8	182	20081
9	184	18256
10	186	16726
11	187	15437
12	189	14407
13	192	13525
14	193	12717
15	195	12006
16	196	11372
17	198	10816
18	199	10300
19	200	9832
20	203	9467
21	208	9257
22	210	8920
23	211	8602
24	213	8316
25	214	8041
26	216	7788
27	217	7552
28	220	7376
29	222	7192
30	224	7015
31	226	6842
32	228	6682
33	229	6526
34	231	6378
35	233	6249
36	236	6148
37	239	6066
38	241	5957
39	244	5863
40	245	5746
41	247	5641
42	249	5550
43	251	5455
44	255	5413
45	256	5325
46	258	5243
47	260	5165
48	262	5086
49	263	5012
50	265	4939
51	269	4919
52	271	4853
53	275	4825
54	279	4804
55	296	4991
56	298	4942
57	300	4878
58	302	4825
59	305	4780
60	311	4793
61	313	4743
62	316	4707
63	318	4663
64	321	4619
65	323	4581
66	326	4547
67	328	4505
68	330	4459
69	332	4417
70	335	4384
71	337	4354
72	344	4373
73	345	4327
74	347	4288
75	349	4248
76	351	4207
77	353	4172
78	355	4148
79	357	4113
80	359	4079
81	361	4049
82	362	4003
83	363	3965
84	365	3934
85	367	3907
86	370	3889
87	372	3859
88	373	3825
89	376	3803
90	377	3775
91	379	3747
92	381	3722
93	384	3701
94	386	3686
95	389	3663
96	390	3636
97	392	3613
98	394	3591
99	396	3570
100	402	3580
101	405	3568
102	407	3545
103	408	3521
104	410	3497
105	413	3491
106	417	3486
107	420	3470
108	422	3454
109	424	3435
110	426	3413
111	435	3449
112	437	3430
113	439	3417
114	441	3397
115	443	3380
116	446	3371
117	449	3361
118	451	3343
119	453	3325
120	456	3314
121	457	3293
122	461	3290
123	464	3278
124	465	3260
125	467	3244
126	469	3224
127	471	3209
128	472	3192
129	476	3187
130	479	3178
131	480	3162
132	482	3146
133	484	3129
134	486	3116
135	489	3110
136	495	3122
137	497	3108
138	499	3093
139	501	3078
140	503	3065
141	505	3054
142	508	3044
143	509	3030
144	512	3021
145	514	3009
146	516	2996
147	521	3002
148	523	2992
149	525	2979
150	527	2967
151	529	2954
152	531	2942
153	533	2931
154	537	2928
155	538	2915
156	540	2903
157	542	2892
158	544	2882
159	546	2870
